Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,USA,23292.17,37.34,58.89,2.28%,2067999
IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,USA,15663.04,27.06,53.58,-0.24%,1300531
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,USA,106439.06,84.01,306.9,1.03%,1440618
IT,"Gartner, Inc.",Technology,Information Technology Services,USA,26736.52,29.62,343.26,1.48%,513652
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,USA,67433.22,22.52,225.07,1.43%,894330
IVZ,Invesco Ltd.,Financial,Asset Management,USA,6735.04,10.83,14.89,1.29%,2914937
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,USA,14321.94,18.88,114.01,0.98%,561616
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics,USA,17720,19.35,170.27,-0.41%,502320
JCI,Johnson Controls International plc,Industrials,Building Products & Equipment,Ireland,41879.77,30.76,61.88,1.38%,3433392
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,USA,10807.74,31.09,148.56,0.17%,532751
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,USA,401269.88,32.29,154.35,-0.04%,6844388
JNPR,"Juniper Networks, Inc.",Technology,Communication Equipment,USA,9560.84,20.05,30.5,2.59%,4050889
JPM,JPMorgan Chase & Co.,Financial,Banks - Diversified,USA,396467.33,10.1,136.94,0.94%,8576273
K,Kellogg Company,Consumer Defensive,Packaged Foods,USA,23283.89,27.79,67.67,-0.38%,1817335
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,USA,44289.04,33.85,31.41,-0.44%,13064965
KEY,KeyCorp,Financial,Banks - Regional,USA,9455.53,5.6,9.89,-2.18%,14310416
KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,USA,27932.9,24.73,161.63,2.88%,1087418
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,USA,46954.23,19.54,38.34,0.21%,7170272
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,USA,11089.92,75.29,18.07,1.01%,3123436
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,USA,59576.52,18.81,461.19,6.20%,2161984
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,USA,46234.32,23.33,136.3,-0.54%,1257348
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,USA,36352.54,14.35,16.21,-0.06%,12807656
KMX,"CarMax, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,11235.85,24.02,72.48,2.06%,933561
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,USA,261247.58,26.55,60.26,-0.25%,12554444
KR,The Kroger Co.,Consumer Defensive,Grocery Stores,USA,35093.14,15.47,47.31,-3.25%,8013094
L,Loews Corporation,Financial,Insurance - Property & Casualty,USA,12985.67,12.96,57.11,0.23%,800842
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,USA,10875.83,16.49,80.3,1.27%,1429014
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,USA,34817.02,6.65,107.45,-1.02%,2071521
LH,Laboratory Corporation of America Holdings,Healthcare,Diagnostics & Research,USA,18903.81,19.59,215.6,1.05%,595595
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,USA,33417.39,37.16,178.76,1.34%,989972
LIN,Linde plc,Basic Materials,Specialty Chemicals,United Kingdom,174585.64,39.57,356.21,-0.11%,1805819
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,USA,14393.74,12.89,53.59,-0.48%,1339152
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,USA,405633.11,67.6,425.79,-0.36%,2338323
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,USA,112708.94,20.49,448.45,1.27%,1135435
LNC,Lincoln National Corporation,Financial,Insurance - Life,USA,3543.73,,21.38,2.30%,2137991
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,USA,12835.78,19.53,50.97,-0.18%,1078908
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,USA,119891.06,20.09,206.52,2.73%,3072675
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,USA,80887.19,17.49,628.25,4.34%,2198074
LUV,Southwest Airlines Co.,Industrials,Airlines,USA,17399.81,29.89,29.65,1.40%,4409344
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,USA,42661.46,,56.35,0.95%,3047447
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,USA,15873.53,29.21,109.45,0.47%,1169982
LYB,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,USA,28874.29,9.36,87.31,-1.64%,2117167
LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,USA,18779.49,123.16,82.15,0.56%,1728465
MA,Mastercard Incorporated,Financial,Credit Services,USA,350661.14,37.39,374.37,1.17%,2691301
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,USA,16859.84,25.64,145.96,1.00%,576663
MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,USA,52312.94,20.11,171.76,0.06%,1390010
MAS,Masco Corporation,Industrials,Building Products & Equipment,USA,11305.97,14.28,50.77,1.08%,1175493
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,USA,208457.38,30.7,286.04,0.18%,2148168
MCHP,Microchip Technology Incorporated,Technology,Semiconductors,USA,40613.62,21.16,78.32,5.64%,8214632
MCK,McKesson Corporation,Healthcare,Medical Distribution,USA,53614.69,15.48,387.95,-1.88%,800028
MCO,Moody's Corporation,Financial,Financial Data & Stock Exchanges,USA,56825.15,40.47,313,1.08%,764334
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,USA,102384.16,26.23,75.13,-0.07%,7429020
MDT,Medtronic plc,Healthcare,Medical Devices,Ireland,111143.21,26.78,81.46,-2.49%,9655435
MET,"MetLife, Inc.",Financial,Insurance - Life,USA,40412.32,28.3,51.81,-1.82%,5274218
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,USA,647576.85,31.45,262.04,3.70%,25719599
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,USA,14537.57,8.62,40.39,1.08%,3914945
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,6024.58,,95.1,0.52%,436470
MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,USA,23391.12,35.24,86.93,-0.32%,1070141
MKTX,MarketAxess Holdings Inc.,Financial,Capital Markets,USA,10344.53,40.53,279.28,1.69%,234310
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,USA,24735.95,25.81,399.16,0.00%,340340
MMC,"Marsh & McLennan Companies, Inc.",Financial,Insurance Brokers,USA,85695.15,27.09,173.23,0.01%,1232344
MMM,3M Company,Industrials,Conglomerates,USA,53539.96,10.05,96.94,-0.11%,2784298
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,USA,60007.73,38.33,57.61,0.49%,3596385
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,USA,79737.7,14.33,44.61,-0.13%,5493402
MOH,"Molina Healthcare, Inc.",Healthcare,Healthcare Plans,USA,15939.49,18.59,273.03,-0.14%,403342
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,USA,11348.07,4.19,33.89,-0.82%,3627526
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,USA,46467.31,3.29,108.81,-0.65%,3479239
MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,USA,23160.1,53.95,520.92,6.68%,2053662
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,USA,284954.53,21.67,111.07,-1.10%,6377644
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,USA,48211.06,10.91,126.24,-0.18%,3640394
MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,USA,14408.64,5.71,23.26,-0.30%,9179971
MS,Morgan Stanley,Financial,Capital Markets,USA,138619.58,14.41,83.9,1.08%,7408200
MSCI,MSCI Inc.,Financial,Financial Data & Stock Exchanges,USA,37352.65,43.62,475.83,2.00%,393215
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,2423372.73,36.08,332.89,2.14%,36592895
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,USA,47295.54,35.58,284.57,0.91%,932081
MTB,M&T Bank Corporation,Financial,Banks - Regional,USA,20085,9.55,123.6,2.07%,1008410
MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information,USA,9367.29,32.89,34.11,1.40%,3122405
MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,USA,28999.57,34.24,1348.19,2.37%,92721
MU,"Micron Technology, Inc.",Technology,Semiconductors,USA,76181.17,53.11,73.93,6.21%,33392461
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services,USA,6141.84,,14.48,0.00%,10276253
NDAQ,"Nasdaq, Inc.",Financial,Financial Data & Stock Exchanges,USA,26098.8,23.51,54.22,1.96%,3542657
NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,USA,12434.37,24.78,220.82,1.69%,180193
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,USA,148498.62,22,73.92,0.72%,7173633
NEM,Newmont Corporation,Basic Materials,Gold,USA,32297.07,,40.68,0.10%,7044106
NFLX,"Netflix, Inc.",Communication Services,Entertainment,USA,159591.84,44.6,378.88,5.54%,9342278
NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,USA,11156.71,18.22,26.85,-0.59%,2923931
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,USA,165195.57,31.02,107.51,0.03%,7906060
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,USA,65831.28,14.19,438.32,1.11%,864990
NOW,"ServiceNow, Inc.",Technology,Software - Application,USA,108346.57,273.93,537.46,1.07%,2134243
NRG,"NRG Energy, Inc.",Utilities,Utilities - Independent Power Producers,USA,7703.7,,33.94,1.43%,6586592
NSC,Norfolk Southern Corporation,Industrials,Railroads,USA,48081.56,16.21,210.57,-0.31%,1144975
NTAP,"NetApp, Inc.",Technology,Computer Hardware,USA,14704.1,12.06,69.83,1.59%,1807060
NTRS,Northern Trust Corporation,Financial,Asset Management,USA,14954.64,12.35,72.62,1.17%,710662
NUE,Nucor Corporation,Basic Materials,Steel,USA,33837.6,5.31,136.14,1.08%,992625
NVDA,NVIDIA Corporation,Technology,Semiconductors,USA,939295.71,202.42,389.46,2.54%,71306118
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,USA,18313.25,11.81,5617.56,-0.31%,23934
NWL,Newell Brands Inc.,Consumer Defensive,Household & Personal Products,USA,3503.26,,8.73,3.19%,5724195
NWS,News Corporation,Communication Services,Entertainment,USA,10651.27,40.52,18.64,1.75%,447052
NWSA,News Corporation,Communication Services,Entertainment,USA,10471.58,40.48,18.54,1.70%,1754669
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,Netherlands,44505.05,17.37,181.18,5.74%,3605670
O,Realty Income Corporation,Real Estate,REIT - Retail,USA,39343.26,41.16,58.66,0.38%,3441429
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,USA,34011.73,25.98,315.83,1.82%,949057
OGN,Organon & Co.,Healthcare,Drug Manufacturers - General,USA,5065.55,6.69,19.54,-1.61%,2005055
OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,USA,25759.21,10.81,57.3,-0.47%,2790042
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,USA,17780.42,13.51,89.95,0.93%,1241700
ON,ON Semiconductor Corporation,Technology,Semiconductors,USA,35413.72,21.14,86.62,5.63%,10508321
ORCL,Oracle Corporation,Technology,Software - Infrastructure,USA,281562.42,34.2,104.08,-0.20%,13992558
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Specialty Retail,USA,56921.41,26.67,923,-1.29%,427526
OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,USA,33654.13,27.02,81.79,0.44%,2736373
OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,USA,52818.49,6.71,58.94,0.22%,9929156
PARA,Paramount Global,Communication Services,Entertainment,USA,9265.52,,14.91,5.89%,26256999
PAYC,"Paycom Software, Inc.",Technology,Software - Application,USA,16149.01,52.82,280.95,0.69%,366661
PAYX,"Paychex, Inc.",Industrials,Staffing & Employment Services,USA,38890.36,26.08,108.17,0.27%,2188845
PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,USA,37113.42,14.39,71.35,0.46%,1880437
PCG,PG&E Corporation,Utilities,Utilities - Regulated Electric,USA,40640.03,18.6,16.52,0.55%,14790357
PEAK,"Healthpeak Properties, Inc.",Real Estate,REIT - Healthcare Facilities,USA,10546.12,19.61,19.47,0.99%,3991359
PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric,USA,29852.91,12.85,59.57,-0.43%,1799284
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,USA,253219.24,38.17,183.58,-0.12%,4448988
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,USA,213561.98,7.41,37.6,-0.61%,20224303
PFG,"Principal Financial Group, Inc.",Financial,Asset Management,USA,16510.77,4.05,68.17,0.24%,1134877
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,USA,342680.16,25.32,145.4,0.01%,4716360
PGR,The Progressive Corporation,Financial,Insurance - Property & Casualty,USA,75462.18,92.64,128.49,-0.34%,3149706
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,USA,41969.51,28.81,332.88,1.76%,558201
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,USA,14849.07,5.62,65.87,-0.98%,2493278
PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,USA,11450.54,12.21,127.2,-0.10%,355649
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,USA,112644.92,37.74,124.95,2.43%,2378129
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,USA,140877.39,16.23,90.84,0.09%,4777166
PNC,"The PNC Financial Services Group, Inc.",Financial,Banks - Regional,USA,47489.43,8.14,118.78,-0.18%,1803512
PNR,Pentair plc,Industrials,Specialty Industrial Machinery,United Kingdom,9426.82,19.32,57.6,0.79%,755899
PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,USA,8651.52,20.4,76.8,0.54%,677250
PODD,Insulet Corporation,Healthcare,Medical Devices,USA,19310.38,,272.63,-1.60%,773434
POOL,Pool Corporation,Industrials,Industrial Distribution,USA,12769.43,19.41,328.01,0.28%,344892
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,USA,31319.56,24.88,133.73,0.52%,1070173
PPL,PPL Corporation,Utilities,Utilities - Regulated Electric,USA,19163.91,26.41,26.01,0.04%,6114228
PRU,"Prudential Financial, Inc.",Financial,Insurance - Life,USA,29225.45,921.15,80.14,0.09%,1679985
PSA,Public Storage,Real Estate,REIT - Industrial,USA,49775.12,12.19,286.69,1.26%,832763
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,USA,43655.75,3.67,94.91,-0.24%,2440551
PTC,PTC Inc.,Technology,Software - Application,USA,15495.61,49.2,131.03,0.08%,1023401
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,USA,25094.28,51.33,174,0.67%,811304
PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,USA,48522.54,7.38,207.93,0.16%,1437541
PYPL,"PayPal Holdings, Inc.",Financial,Credit Services,USA,66240.19,25.5,60.22,1.43%,20620662
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,USA,115878.53,11.74,110.35,6.09%,15958652
QRVO,"Qorvo, Inc.",Technology,Semiconductors,USA,9309.72,108.39,100.04,6.10%,1678375
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,USA,19922.22,,79,1.41%,1971744
RE,"Everest Re Group, Ltd.",Financial,Insurance - Reinsurance,Bermuda,15434.15,21.16,350.06,-2.75%,344747
REG,Regency Centers Corporation,Real Estate,REIT - Retail,USA,9430.92,24.96,55.94,1.41%,934147
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,79537.98,19.7,725.05,0.01%,750764
RF,Regions Financial Corporation,Financial,Banks - Regional,USA,16307.82,7.57,17.78,2.30%,7317018
RHI,Robert Half International Inc.,Industrials,Staffing & Employment Services,USA,7237.35,11.96,67.5,0.51%,708924
RJF,"Raymond James Financial, Inc.",Financial,Capital Markets,USA,19595.28,12.25,93.16,0.75%,1396116
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,USA,7521.09,15.14,112.76,-1.09%,1317351
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,USA,31878.66,36.76,215.44,-0.71%,698713
ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,USA,31410.88,25.2,286.23,4.68%,905025
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,USA,19435.31,50.42,39.33,-0.28%,1209979
ROP,"Roper Technologies, Inc.",Technology,Software - Application,USA,47907.24,46.52,449.96,0.12%,524130
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,USA,35005.22,22.95,103.37,1.01%,2222607
RSG,"Republic Services, Inc.",Industrials,Waste Management,USA,44819.71,29.43,141.08,-0.44%,1065682
RTX,Raytheon Technologies Corporation,Industrials,Aerospace & Defense,USA,136061.68,24.92,93.26,0.15%,4055817
RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,USA,14607.08,40.92,116.67,0.19%,931068
SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty,USA,24018.22,65.42,223.8,0.95%,651947
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,USA,112851.33,31.94,98.53,0.09%,7270103
SCHW,The Charles Schwab Corporation,Financial,Capital Markets,USA,98718.98,14.64,53.67,-1.05%,11515870
SEDG,"SolarEdge Technologies, Inc.",Technology,Solar,Israel,16731.32,86.36,294.41,-0.86%,602162
SEE,Sealed Air Corporation,Consumer Cyclical,Packaging & Containers,USA,5807.28,14.52,40.1,-0.30%,595146
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,USA,58414.66,28.11,229.14,1.16%,1118016
SJM,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,USA,15687.78,22.02,146.56,-0.38%,1161777
SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,USA,64367.9,16.58,44.48,-1.51%,12288562
SNA,Snap-on Incorporated,Industrials,Tools & Accessories,USA,13536.61,14.77,257.35,0.62%,197905
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,USA,66069.09,75.05,444.73,2.43%,1903532
SO,The Southern Company,Utilities,Utilities - Regulated Electric,USA,76132.17,22.47,69.47,-0.50%,5055562
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,USA,33108.34,15.5,102.36,1.10%,1057515
SPGI,S&P Global Inc.,Financial,Financial Data & Stock Exchanges,USA,114948.12,42.47,360.78,0.69%,1054433
SRE,Sempra,Utilities,Utilities - Diversified,USA,45177.53,18.55,143.85,0.19%,1436848
STE,STERIS plc,Healthcare,Medical Devices,Ireland,19977.86,187.85,200.44,-0.38%,332745
STLD,"Steel Dynamics, Inc.",Basic Materials,Steel,USA,16012.77,5.09,95.65,0.97%,1285362
STT,State Street Corporation,Financial,Asset Management,USA,22645.77,9.59,68.47,1.06%,2137047
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,Ireland,12447.41,,62.29,3.63%,3603627
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Wineries & Distilleries,USA,42535.53,,232.88,0.32%,881524
SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories,USA,11878.19,,78.7,1.47%,1253316
SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors,USA,15911.92,15.18,105.05,5.07%,2760303
SYF,Synchrony Financial,Financial,Credit Services,USA,12857.18,5.44,30.9,3.00%,3845732
SYK,Stryker Corporation,Healthcare,Medical Devices,USA,103403.22,39.67,272.58,0.07%,1091662
SYY,Sysco Corporation,Consumer Defensive,Food Distribution,USA,35726.33,23.38,70.72,0.30%,2352087
T,AT&T Inc.,Communication Services,Telecom Services,USA,108307.33,,15.5,2.31%,50139179
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,USA,12329.32,,60.64,-0.15%,1739473
TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense,USA,43214.48,47.63,792.49,0.73%,206164
TDY,Teledyne Technologies Incorporated,Technology,Scientific & Technical Instruments,USA,18590.13,25.14,397.31,0.55%,525726
TECH,Bio-Techne Corporation,Healthcare,Biotechnology,USA,12958.36,49.97,83.5,1.45%,700352
TEL,TE Connectivity Ltd.,Technology,Electronic Components,Switzerland,37578.05,18.54,122.78,2.96%,1201027
TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,USA,15080.47,27.29,103.71,6.62%,3136196
TFC,Truist Financial Corporation,Financial,Banks - Regional,USA,40663.38,6.83,30.7,0.56%,7995382
TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies,USA,10952.98,30.28,232.35,-0.35%,186477
TGT,Target Corporation,Consumer Defensive,Discount Stores,USA,64963.66,23.63,138.93,-1.29%,8093633
TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,USA,87444.28,23.74,77,1.40%,4419191
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,USA,200821.1,34.01,522.02,0.27%,1603667
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,USA,162897.64,40.45,135.15,-0.45%,8845292
TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,USA,9434.03,11.35,41.69,2.43%,2130923
TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream,USA,15688.14,17.94,69.19,-0.32%,1048705
TRMB,Trimble Inc.,Technology,Scientific & Technical Instruments,USA,11495.48,25.14,47.19,1.70%,960981
TROW,"T. Rowe Price Group, Inc.",Financial,Asset Management,USA,23375.43,17.49,106.63,2.44%,1339739
TRV,"The Travelers Companies, Inc.",Financial,Insurance - Property & Casualty,USA,40114.28,14.68,172.29,-0.79%,1172148
TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail,USA,23432.09,21.77,211.5,-1.10%,1562503
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,USA,584679.22,56.86,193.17,4.72%,161590525
TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,USA,18406.34,12.44,52.01,0.48%,3317985
TT,Trane Technologies plc,Industrials,Building Products & Equipment,Ireland,38200.54,21.38,166.8,-0.42%,2089642
TTWO,"Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia,USA,23094.31,,138.98,1.65%,1232690
TXN,Texas Instruments Incorporated,Technology,Semiconductors,USA,153955.81,19.78,176.29,3.93%,8321458
TXT,Textron Inc.,Industrials,Aerospace & Defense,USA,12609.11,15.48,62.81,0.46%,889385
TYL,"Tyler Technologies, Inc.",Technology,Software - Application,USA,16236,107.54,393.6,1.63%,180578
UAL,"United Airlines Holdings, Inc.",Industrials,Airlines,USA,15572.17,8.25,47.26,-0.46%,4400968
UDR,"UDR, Inc.",Real Estate,REIT - Residential,USA,12837.63,128.62,39.23,0.59%,1913730
UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,USA,8957.32,13.59,127.98,0.30%,628290
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,USA,24300.01,17.09,420.27,-13.37%,6075207
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,USA,444755.94,22.02,481.52,0.80%,3134569
UNP,Union Pacific Corporation,Industrials,Railroads,USA,117798.73,17.07,193.1,-0.06%,2287350
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,USA,147066.38,13.87,171.57,0.20%,2291804
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,USA,23472.87,11.26,350.97,2.76%,946623
USB,U.S. Bancorp,Financial,Banks - Regional,USA,46769.3,8.18,30.67,0.52%,9266011
V,Visa Inc.,Financial,Credit Services,USA,457737.83,30.05,225.01,0.73%,5067023
VFC,V.F. Corporation,Consumer Cyclical,Apparel Manufacturing,USA,6782.11,59.18,18.05,3.44%,8856645
VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,USA,30408.19,21.48,30.53,0.83%,2870620
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,USA,40916.01,3.23,113.82,0.57%,3087206
VMC,Vulcan Materials Company,Basic Materials,Building Materials,USA,25960.2,42,196,0.46%,731842
VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,USA,31661.83,46.56,217.07,-0.74%,1076391
VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure,USA,23301.83,34.68,225.99,0.96%,450381
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,USA,85668.7,26.29,329.99,-0.79%,1850500
VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities,USA,17126.27,,42.88,0.16%,1513300
VTRS,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,USA,10827.23,5.83,9.11,0.89%,9488427
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,USA,146382.95,6.82,35,0.52%,18208581
WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,USA,16884.56,26.36,94.74,0.93%,1152233
WAT,Waters Corporation,Healthcare,Diagnostics & Research,USA,15323.87,22.67,260.61,0.40%,398931
WBA,"Walgreens Boots Alliance, Inc.",Healthcare,Pharmaceutical Retailers,USA,25858.12,,30.01,0.13%,7265977
WBD,"Warner Bros. Discovery, Inc.",Communication Services,Entertainment,USA,27016.36,,11.44,3.16%,21298806
WDC,Western Digital Corporation,Technology,Computer Hardware,USA,12109.56,,39.71,4.91%,5309990
WEC,"WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric,USA,27350.91,20.35,86.9,0.22%,1645455
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,USA,36591.3,306.42,73.54,-0.11%,1568966
WFC,Wells Fargo & Company,Financial,Banks - Diversified,USA,153465.89,11.77,41.23,0.81%,17396004
WHR,Whirlpool Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,7243.85,,134.22,1.46%,454495
WM,"Waste Management, Inc.",Industrials,Waste Management,USA,65855.46,29.5,161.28,-0.37%,1041897
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,USA,35424.89,13.57,28.75,-1.13%,5957755
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,USA,394244.63,35.29,146.42,0.18%,5239223
WRB,W. R. Berkley Corporation,Financial,Insurance - Property & Casualty,USA,14629.32,14.43,56.15,0.09%,1856452
WRK,WestRock Company,Consumer Cyclical,Packaging & Containers,USA,7112.66,,28.47,2.52%,3476057
WST,"West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies,USA,25257.56,47.59,343.5,0.97%,340992
WTW,Willis Towers Watson Public Limited Company,Financial,Insurance Brokers,United Kingdom,23366.23,21.22,221.02,0.65%,344554
WY,Weyerhaeuser Company,Real Estate,REIT - Specialty,USA,20826.47,16.66,28.25,-0.67%,3347676
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,USA,11495.45,,101.13,0.11%,1804957
