No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Dividend Yield,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Average Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Volatility (Week),Volatility (Month),Analyst Recom,Relative Volume,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap
122,CTLT,Catalent Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,USA,10784.6,,59.59,-0.32%,4028209,52.43,,2.6,2.97,66.57,,-95.30%,2335.70%,,32.41%,15.24%,,-11.13%,-27.71%,-13.48%,2.51,1.77,1.37,1.38,19.38%,0.43%,-27.77%,5/8/2024 4:30:00 PM,180.0,175.94,2.78%,-0.29%,98.62%,-7.74%,5.99%,5.84,1807.42,1.55%,5.45%,5.77%,12.24%,28.04%,32.63%,0.77%,0.78%,2.9,2.23,1.15,0.47,2.46%,5.42%,16.25%,-1.01%,87.39%,76.14,0.32%,-0.64%
123,CTRA,Coterra Energy Inc,Energy,Oil & Gas E&P,USA,17943.39,14.06,24.11,-5.08%,13521068,8.22,0.94,3.32,1.37,13.59,18.5,-12.54%,48.33%,11.36%,14.95%,48.71%,3.44%,6.45%,10.20%,8.68%,1.4,1.46,0.16,0.2,33.88%,27.86%,24.25%,8/1/2024 4:30:00 PM,751.0,730.79,1.81%,-0.51%,89.53%,0.63%,1.81%,2.22,5970.53,-6.48%,-10.34%,-11.23%,-2.07%,-10.80%,-5.53%,2.65%,1.95%,1.7,2.26,0.22,0.59,-8.72%,-10.59%,-9.59%,-19.34%,1.60%,22.17,-3.17%,-1.97%
124,CTSH,Cognizant Technology Solutions Corp.,Technology,Information Technology Services,USA,36792.8,16.87,74.0,-3.03%,4043723,14.93,2.54,1.91,2.65,16.69,22.81,2.06%,6.73%,3.19%,6.63%,3.81%,1.65%,12.01%,16.38%,14.68%,2.46,2.46,0.08,0.09,31.72%,15.45%,11.39%,7/31/2024 4:30:00 PM,498.0,496.16,0.21%,-1.03%,95.78%,-0.43%,3.20%,4.01,3967.6,-0.76%,8.35%,11.66%,-4.98%,13.25%,-2.03%,2.98%,2.39%,2.8,1.02,1.04,1.79,1.72%,6.75%,3.74%,-7.81%,19.09%,56.32,-2.77%,-0.26%
125,CTVA,Corteva Inc,Basic Materials,Agricultural Inputs,USA,35950.23,39.92,51.58,-2.68%,3784039,15.29,2.96,2.13,1.42,15.9,23.92,0.87%,24.35%,,13.50%,3.98%,1.31%,2.04%,3.40%,3.25%,1.72,1.17,0.1,0.19,40.93%,13.90%,5.31%,7/31/2024 4:30:00 PM,701.26,695.95,0.15%,-7.40%,86.74%,-0.09%,1.15%,2.42,3302.67,-6.88%,-1.71%,-9.48%,-4.59%,-7.73%,7.64%,2.89%,2.29%,1.71,1.15,0.78,1.32,-4.27%,-4.03%,-0.42%,-12.22%,19.34%,37.96,-1.34%,-1.36%
126,CVS,CVS Health Corp,Healthcare,Healthcare Plans,USA,74468.55,10.42,59.32,-1.18%,8694426,7.64,,0.21,1.0,5.67,9.15,-20.26%,11.46%,,-0.30%,13.36%,4.23%,2.99%,10.07%,4.97%,0.81,0.61,0.99,1.11,14.95%,3.90%,2.03%,8/7/2024 8:30:00 AM,1288.0,1253.67,0.14%,-1.09%,82.40%,0.60%,1.42%,1.49,11954.68,-2.75%,4.62%,7.56%,-19.75%,-22.37%,-24.87%,3.52%,2.78%,2.0,0.73,0.53,1.83,0.09%,0.32%,-13.64%,-28.74%,12.41%,48.61,-1.53%,0.35%
127,CVX,Chevron Corp.,Energy,Oil & Gas Integrated,USA,273773.2,13.67,148.55,-2.67%,13275016,10.52,3.26,1.4,1.71,42.74,14.29,-6.30%,14.78%,7.97%,4.20%,11.17%,4.40%,7.84%,12.68%,11.14%,1.23,0.93,0.13,0.14,16.98%,12.49%,10.41%,8/2/2024 8:30:00 AM,1865.65,1842.4,0.03%,-3.41%,74.42%,-0.69%,2.67%,7.03,6995.11,-5.89%,-5.21%,-7.58%,0.45%,-7.00%,-0.41%,2.78%,2.02%,1.85,1.9,1.09,3.41,-5.28%,-5.18%,-3.36%,-13.48%,6.40%,35.69,-1.71%,-0.98%
128,CZR,Caesars Entertainment Inc,Consumer Cyclical,Resorts & Casinos,USA,7714.68,,35.66,-4.55%,6759767,23.49,,0.68,1.79,8.2,72.78,-115.49%,369.15%,24.50%,-12.10%,49.97%,,-0.84%,-6.28%,-0.95%,0.7,0.68,5.81,5.83,41.16%,21.25%,-2.44%,7/30/2024 4:30:00 PM,215.44,206.09,4.74%,0.55%,98.39%,-1.10%,9.29%,3.89,4920.97,1.71%,-5.49%,1.48%,-18.95%,-35.50%,-23.93%,5.30%,4.22%,1.68,1.37,2.97,1.91,-4.22%,-2.97%,-13.15%,-38.82%,12.35%,45.92,-2.49%,-2.11%
129,D,Dominion Energy Inc,Utilities,Utilities - Regulated Electric,USA,47006.82,30.22,56.08,1.15%,5501071,16.51,1.55,3.33,1.83,255.47,,38.93%,22.83%,-9.37%,19.50%,0.45%,4.76%,2.00%,7.43%,2.44%,0.93,0.78,1.35,1.54,54.47%,24.04%,11.02%,8/1/2024 8:30:00 AM,838.0,837.07,0.14%,2.08%,78.64%,1.48%,1.84%,4.07,3788.55,6.41%,13.96%,9.62%,20.14%,7.15%,19.32%,2.87%,2.11%,2.79,1.45,0.59,1.17,8.55%,9.21%,16.47%,0.75%,43.13%,75.39,0.00%,1.15%
130,DAL,"Delta Air Lines, Inc.",Industrials,Airlines,USA,25707.08,5.73,39.83,-4.02%,9375201,5.42,0.66,0.43,2.08,5.91,23.26,0.18%,17.47%,4.80%,8.69%,20.20%,0.94%,6.04%,43.81%,13.41%,0.4,0.35,1.7,2.0,18.62%,10.29%,7.46%,7/11/2024 8:30:00 AM,643.45,643.08,0.36%,-7.40%,80.15%,-1.80%,4.57%,3.6,8166.2,-9.74%,-15.95%,-21.95%,0.18%,-11.09%,-0.99%,3.17%,3.23%,1.32,1.15,1.35,1.46,-10.37%,-16.33%,-7.52%,-26.05%,30.16%,26.95,-2.04%,-2.02%
131,DAY,Dayforce Inc,Technology,Software - Application,USA,8415.66,180.44,53.23,-5.89%,3320299,25.52,9.96,5.16,3.44,18.05,68.7,18.63%,16.46%,,18.12%,15.64%,,0.55%,2.00%,1.27%,1.11,1.11,0.49,0.5,50.94%,8.36%,2.89%,7/31/2024 8:30:00 AM,156.3,155.24,1.81%,-2.25%,111.52%,-3.09%,10.97%,8.68,1962.88,2.15%,3.84%,-7.79%,-23.89%,-20.55%,-20.69%,6.18%,4.25%,1.95,1.69,1.29,2.45,0.68%,1.82%,-15.24%,-29.52%,13.06%,50.06,-4.40%,-1.56%
132,DD,DuPont de Nemours Inc,Basic Materials,Specialty Chemicals,USA,33032.6,51.97,79.12,-4.28%,3218998,18.03,4.79,2.74,1.42,21.89,22.01,7.92%,16.86%,-28.34%,10.85%,-10.84%,1.92%,0.82%,1.29%,2.15%,2.21,1.44,0.32,0.33,30.81%,14.00%,5.51%,7/31/2024 8:30:00 AM,430.11,416.33,0.28%,-2.53%,74.10%,0.20%,1.01%,1.71,2450.73,-1.32%,-0.09%,1.76%,27.70%,3.59%,2.85%,2.69%,1.82%,1.81,1.31,1.32,1.82,-1.68%,-1.53%,6.20%,-7.05%,29.41%,45.35,-2.86%,-1.46%
133,DE,Deere & Co.,Industrials,Farm & Heavy Construction Machinery,USA,97482.89,10.65,353.75,-1.16%,2820675,14.49,,1.66,4.3,14.67,19.75,-26.78%,-3.71%,36.77%,-10.60%,11.08%,1.65%,9.28%,42.01%,14.88%,0.67,0.46,1.81,2.91,39.73%,25.82%,16.15%,8/15/2024 8:30:00 AM,281.58,255.37,7.33%,-0.07%,71.42%,-2.44%,1.26%,2.03,1586.27,-8.49%,-2.49%,-10.66%,-10.14%,-17.83%,-11.53%,3.13%,2.57%,2.16,1.78,0.94,9.81,-4.42%,-4.88%,-7.38%,-19.87%,2.26%,37.92,-0.68%,-0.49%
134,DECK,Deckers Outdoor Corp.,Consumer Cyclical,Footwear & Accessories,USA,21988.04,27.56,865.33,-4.51%,307679,23.74,2.42,4.95,10.61,15.29,23.41,9.57%,14.07%,26.96%,11.40%,16.52%,,26.38%,41.87%,35.44%,2.86,2.04,0.1,0.13,55.14%,22.56%,18.27%,7/25/2024 4:30:00 PM,25.59,25.2,0.82%,-20.84%,102.55%,-0.10%,3.88%,2.6,376.48,-3.28%,-7.52%,3.93%,11.97%,59.97%,29.46%,3.29%,3.52%,1.83,0.82,1.06,36.42,-3.75%,-10.42%,6.13%,-21.82%,78.78%,40.03,-1.99%,-2.57%
135,DFS,Discover Financial Services,Financial,Credit Services,USA,32410.63,11.44,129.09,-5.20%,1557044,9.99,,1.44,2.16,,3.45,16.91%,-1.75%,7.63%,-7.29%,10.93%,2.17%,2.00%,19.32%,8.37%,2.27,,1.1,1.19,,17.15%,12.52%,7/17/2024 4:30:00 PM,250.1,249.77,0.52%,0.00%,88.89%,-1.45%,0.93%,1.78,1312.03,-9.28%,-2.25%,3.68%,21.14%,25.15%,14.85%,3.36%,2.70%,2.44,1.19,1.42,3.93,-6.31%,-0.82%,12.60%,-12.55%,63.32%,38.38,-4.21%,-1.03%
136,DG,Dollar General Corp.,Consumer Defensive,Discount Stores,USA,26737.64,17.71,121.59,1.19%,3169454,14.85,,0.68,3.82,37.1,22.56,-4.84%,14.01%,4.82%,-1.50%,8.83%,1.95%,4.97%,23.35%,6.58%,1.22,0.18,2.28,2.59,27.70%,5.73%,3.85%,8/29/2024 8:30:00 AM,219.66,219.22,0.30%,-1.21%,104.08%,-3.46%,3.25%,2.78,2563.79,2.96%,-3.06%,-11.35%,-10.61%,-27.57%,-10.56%,3.47%,2.92%,2.31,1.24,0.46,3.75,-1.79%,-5.46%,-9.68%,-28.67%,20.28%,44.63,1.87%,-0.67%
137,DGX,"Quest Diagnostics, Inc.",Healthcare,Diagnostics & Research,USA,16706.91,20.24,150.08,1.63%,1024026,15.63,3.65,1.79,2.52,61.65,19.09,2.24%,7.82%,7.36%,5.55%,4.86%,1.94%,6.12%,13.00%,7.64%,1.0,0.91,0.65,0.77,31.81%,14.49%,8.95%,7/23/2024 8:30:00 AM,111.0,110.76,0.50%,-3.22%,93.77%,-1.34%,2.06%,2.54,899.06,3.08%,6.52%,10.08%,18.02%,11.37%,8.85%,2.60%,2.30%,2.33,1.14,0.88,3.42,4.32%,6.18%,11.62%,-0.34%,25.50%,63.23,1.41%,0.22%
138,DHI,D.R. Horton Inc.,Consumer Cyclical,Residential Construction,USA,57911.22,11.93,177.62,-0.80%,3178473,11.17,1.55,1.55,2.36,19.18,27.61,5.77%,8.80%,29.41%,7.70%,17.63%,0.68%,14.77%,21.52%,16.83%,8.51,1.04,0.2,0.23,26.28%,17.25%,13.36%,7/18/2024 8:30:00 AM,334.85,288.08,11.64%,-0.07%,86.21%,0.09%,2.13%,2.35,2612.43,0.38%,30.57%,22.11%,20.56%,41.26%,16.87%,3.22%,3.27%,2.22,1.22,1.73,5.79,8.88%,17.86%,23.44%,-4.21%,77.48%,68.6,1.65%,-2.41%
139,DHR,Danaher Corp.,Healthcare,Diagnostics & Research,USA,199871.62,49.11,276.75,-1.43%,3108808,31.97,7.04,8.05,4.02,84.19,39.18,-0.12%,14.34%,11.31%,6.98%,8.35%,0.35%,5.19%,8.36%,6.35%,1.43,1.04,0.33,0.36,59.21%,21.49%,16.94%,7/23/2024 8:30:00 AM,739.2,658.7,8.79%,-0.37%,83.95%,-0.22%,0.99%,2.12,3086.89,1.04%,15.31%,12.12%,12.90%,21.08%,19.63%,2.00%,2.24%,1.69,1.01,0.84,6.68,8.06%,7.81%,15.54%,-1.76%,51.99%,67.27,-0.97%,-0.47%
140,DIS,Walt Disney Co,Communication Services,Entertainment,USA,163289.69,97.04,89.57,-3.74%,15427385,16.32,5.32,1.84,1.65,24.61,19.54,26.78%,15.14%,-31.23%,18.24%,8.74%,0.77%,0.85%,1.72%,1.22%,0.69,0.63,0.4,0.47,29.11%,11.70%,1.91%,8/7/2024 8:30:00 AM,1830.0,1821.94,0.06%,0.83%,70.70%,2.25%,1.23%,2.05,10888.15,-0.40%,-9.17%,-20.47%,-7.72%,3.79%,-0.80%,2.31%,1.65%,1.7,1.42,1.39,1.9,-5.47%,-9.28%,-10.74%,-27.61%,13.77%,31.26,-2.81%,-0.96%
141,DLR,Digital Realty Trust Inc,Real Estate,REIT - Specialty,USA,49155.74,44.18,150.84,-0.95%,1642268,115.6,,9.0,2.48,21.54,,-46.38%,-18.88%,19.90%,-9.48%,12.62%,3.29%,2.61%,5.89%,2.86%,,,0.85,0.86,22.55%,13.75%,19.83%,7/25/2024 4:30:00 PM,325.88,325.48,0.12%,-1.01%,98.28%,0.86%,2.99%,5.18,1879.33,3.56%,-0.57%,7.63%,4.86%,22.28%,12.08%,2.47%,2.18%,2.07,0.87,0.62,3.62,-1.66%,0.76%,7.24%,-7.22%,32.39%,49.3,-0.60%,-0.35%
142,DLTR,Dollar Tree Inc,Consumer Defensive,Discount Stores,USA,21392.98,,99.53,-0.22%,3532194,12.68,,0.69,2.94,34.59,53.44,12.89%,18.03%,7.42%,15.28%,6.07%,,-4.41%,-12.30%,-6.17%,1.28,0.23,1.21,1.42,30.57%,0.61%,-3.23%,6/5/2024 8:30:00 AM,217.91,214.75,0.09%,1.03%,100.77%,1.31%,3.93%,3.05,2767.28,-4.23%,-6.06%,-16.91%,-26.62%,-34.24%,-29.93%,2.85%,2.68%,2.04,1.28,0.89,2.88,-5.16%,-8.12%,-19.26%,-35.43%,-0.14%,34.48,-1.57%,1.37%
143,DOC,Healthpeak Properties Inc.,Real Estate,REIT - Healthcare Facilities,USA,15062.71,46.36,21.54,-0.87%,5654676,55.46,,6.25,1.72,94.56,17.54,-38.29%,12.38%,-24.23%,-12.59%,5.92%,5.57%,1.60%,3.76%,1.61%,,,1.04,1.04,23.28%,18.92%,11.91%,7/25/2024 4:30:00 PM,699.29,697.11,0.31%,0.00%,94.68%,-1.78%,1.41%,2.19,4483.43,-1.64%,10.57%,12.36%,14.45%,-0.32%,8.79%,2.22%,2.00%,1.7,1.26,1.11,0.46,3.28%,7.74%,15.82%,-2.93%,41.34%,65.67,-0.37%,-0.51%
144,DOV,Dover Corp.,Industrials,Specialty Industrial Machinery,USA,24113.23,16.36,175.42,-2.08%,976756,17.98,2.01,2.83,4.5,73.35,22.32,3.89%,6.75%,14.92%,8.15%,4.16%,1.19%,13.52%,29.92%,18.02%,1.53,0.95,0.55,0.59,37.36%,17.04%,17.58%,7/25/2024 8:30:00 AM,139.9,136.78,0.50%,-4.22%,89.37%,0.45%,1.85%,2.42,1045.57,-5.30%,-0.88%,-1.20%,12.05%,22.70%,14.05%,2.35%,2.24%,1.88,0.93,1.22,4.41,-3.97%,-3.40%,7.21%,-8.78%,37.85%,40.52,-0.83%,-1.27%
145,DOW,Dow Inc,Basic Materials,Chemicals,USA,36454.85,32.19,52.01,-2.38%,4980953,13.68,1.37,0.85,1.99,9.22,19.98,18.03%,43.80%,-33.38%,23.53%,0.18%,5.40%,1.95%,5.96%,3.23%,1.75,1.12,0.93,0.97,10.89%,5.23%,2.65%,7/25/2024 8:30:00 AM,702.29,699.38,0.22%,0.00%,68.27%,-4.60%,2.21%,3.65,4232.27,-1.61%,-1.65%,-8.48%,-2.86%,-4.92%,-5.16%,2.25%,2.15%,2.64,1.18,1.22,1.21,-2.56%,-4.77%,-4.64%,-14.30%,10.05%,39.83,-1.03%,-1.37%
146,DPZ,Dominos Pizza Inc,Consumer Cyclical,Restaurants,USA,15006.42,26.38,429.0,0.55%,550939,24.1,2.31,3.25,,26.76,29.33,10.21%,10.16%,11.91%,11.41%,5.57%,1.41%,33.18%,,45.24%,1.94,1.81,,,38.94%,18.53%,12.42%,7/18/2024 8:30:00 AM,34.98,34.78,0.56%,-15.37%,99.00%,-9.40%,5.38%,3.14,596.43,2.77%,-13.74%,-16.33%,-1.04%,7.71%,4.07%,2.20%,2.92%,1.92,0.92,0.86,13.24,-4.58%,-12.46%,-3.73%,-20.96%,29.98%,36.95,1.27%,-0.71%
147,DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,USA,17119.41,16.92,144.03,-0.91%,2066710,13.74,1.9,1.5,7.63,77.78,17.23,6.87%,10.42%,8.38%,8.91%,7.05%,3.94%,8.33%,46.38%,11.85%,0.38,0.24,2.87,3.0,17.18%,12.00%,9.02%,6/20/2024 8:30:00 AM,118.86,118.39,0.40%,-7.86%,101.59%,-1.14%,5.34%,4.8,1316.08,1.24%,-0.96%,-2.59%,-13.87%,-12.25%,-12.34%,2.72%,2.27%,1.97,1.57,1.3,3.31,0.50%,-2.11%,-7.60%,-18.55%,8.00%,47.49,-0.67%,-0.24%
148,DTE,DTE Energy Co.,Utilities,Utilities - Regulated Electric,USA,25513.14,18.39,123.24,-0.11%,1256157,17.16,3.61,2.1,2.3,22.2,,16.80%,7.32%,1.84%,5.10%,0.69%,3.35%,3.05%,12.82%,4.53%,0.69,0.52,1.75,2.09,19.51%,15.63%,11.40%,7/25/2024 8:30:00 AM,206.36,206.31,0.34%,-5.48%,80.95%,1.18%,1.43%,3.03,973.28,4.27%,12.82%,10.12%,14.67%,8.98%,11.77%,2.32%,1.94%,2.0,1.29,0.68,2.35,6.55%,8.35%,13.30%,-0.24%,36.72%,74.08,-1.41%,1.31%
149,DUK,Duke Energy Corp.,Utilities,Utilities - Regulated Electric,USA,87920.04,27.56,113.92,1.17%,4606609,18.02,4.14,2.98,1.85,178.7,,7.39%,5.91%,7.61%,6.66%,3.69%,3.67%,2.46%,8.89%,2.54%,0.78,0.5,1.53,1.66,29.80%,25.06%,10.82%,8/6/2024 8:30:00 AM,771.0,770.53,0.16%,-2.44%,66.88%,0.18%,1.22%,3.34,2813.08,5.45%,14.10%,14.71%,16.49%,23.12%,17.39%,2.40%,1.78%,2.24,1.64,0.45,1.99,7.10%,10.08%,17.62%,1.07%,37.15%,79.09,-0.38%,1.55%
150,DVA,DaVita Inc,Healthcare,Medical Care Facilities,USA,12235.9,15.84,139.52,1.45%,602089,13.21,1.18,0.99,13.21,27.72,13.2,13.72%,9.66%,51.82%,13.40%,1.27%,,4.78%,93.14%,6.66%,1.43,1.37,12.22,12.79,26.28%,14.09%,6.61%,8/6/2024 4:30:00 PM,88.82,86.34,1.55%,-9.76%,89.94%,-2.64%,5.76%,5.71,871.24,1.54%,1.14%,-1.91%,24.32%,36.82%,33.18%,3.01%,2.64%,2.9,0.69,0.86,3.82,0.53%,-0.65%,15.57%,-5.68%,95.11%,50.67,2.43%,-0.95%
151,DVN,Devon Energy Corp.,Energy,Oil & Gas E&P,USA,26853.72,8.15,42.79,-5.04%,12249192,7.06,1.1,1.78,2.23,23.37,9.54,-7.53%,14.75%,-1.04%,7.40%,32.26%,4.19%,13.82%,28.91%,18.44%,1.04,0.97,0.49,0.53,33.03%,30.27%,22.16%,8/6/2024 4:30:00 PM,635.7,622.82,0.76%,-0.10%,73.27%,0.49%,2.63%,2.59,6332.07,-7.66%,-11.06%,-14.76%,3.14%,-11.69%,-4.83%,3.77%,2.58%,1.82,1.93,2.08,1.31,-8.42%,-8.93%,-7.78%,-22.11%,6.53%,31.31,-4.14%,-0.93%
152,DXCM,Dexcom Inc,Healthcare,Medical Devices,USA,28972.78,44.55,72.3,2.82%,7630519,35.94,2.75,7.36,11.9,9.28,43.54,11.66%,18.53%,,16.20%,28.80%,,9.79%,29.41%,13.32%,2.82,2.48,1.06,1.07,62.75%,17.32%,16.95%,7/25/2024 4:30:00 PM,400.73,394.5,1.55%,-3.54%,93.10%,-0.34%,2.64%,2.45,4260.28,12.97%,-34.81%,-42.91%,-41.03%,-41.60%,-41.74%,5.51%,3.72%,1.63,1.79,1.17,5.51,-28.48%,-34.91%,-38.69%,-49.08%,15.98%,25.27,4.10%,-1.24%
153,EA,"Electronic Arts, Inc.",Communication Services,Electronic Gaming & Multimedia,USA,39550.08,35.01,148.83,0.29%,1823138,17.33,2.71,5.44,5.28,14.3,21.32,10.89%,11.91%,7.04%,12.90%,9.03%,0.51%,8.93%,15.62%,12.40%,1.45,1.37,0.25,0.25,77.19%,20.08%,15.83%,7/30/2024 4:30:00 PM,266.42,240.33,9.56%,-0.26%,87.34%,-0.26%,2.39%,2.34,2446.49,2.51%,7.33%,15.82%,7.91%,17.83%,8.79%,2.84%,2.16%,2.14,0.75,0.79,3.16,3.04%,6.60%,10.03%,-3.05%,26.70%,62.4,0.49%,-0.20%
154,EBAY,EBay Inc.,Consumer Cyclical,Internet Retail,USA,28212.4,10.96,56.2,-0.05%,5578648,10.9,1.31,2.77,5.02,5.22,18.52,13.01%,7.57%,15.28%,8.39%,-0.47%,1.92%,13.38%,50.01%,22.37%,1.25,1.25,1.18,1.48,71.96%,22.07%,26.39%,7/31/2024 4:30:00 PM,517.0,500.29,0.34%,-3.98%,93.93%,-1.15%,5.08%,5.2,4888.59,3.73%,6.82%,13.79%,34.77%,28.43%,28.84%,3.08%,2.17%,2.66,1.14,1.3,1.34,3.96%,4.83%,18.65%,-2.57%,51.20%,64.04,0.88%,-0.92%
155,ECL,"Ecolab, Inc.",Basic Materials,Specialty Chemicals,USA,67737.2,39.79,237.2,-1.27%,1660426,31.62,2.42,4.33,8.26,176.4,32.88,27.52%,12.91%,-0.37%,16.48%,1.38%,0.96%,7.98%,21.61%,10.53%,1.5,1.1,0.96,0.96,47.05%,15.72%,10.95%,7/30/2024 8:30:00 AM,285.45,253.95,11.07%,-0.02%,81.21%,1.12%,0.67%,1.55,1090.42,-3.28%,0.57%,4.60%,18.58%,28.28%,19.59%,3.41%,1.75%,2.3,1.52,1.12,5.51,-2.15%,-0.96%,11.10%,-4.74%,51.35%,46.18,-0.92%,-0.35%
156,ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,USA,35215.87,19.8,101.83,1.62%,4425794,18.13,3.41,2.38,1.63,23.38,,4.58%,5.94%,10.30%,5.80%,3.81%,3.27%,2.71%,8.42%,3.94%,1.04,0.97,1.1,1.23,63.46%,17.07%,12.04%,8/1/2024 4:30:00 PM,345.83,345.16,0.20%,-0.07%,68.91%,0.87%,1.90%,3.55,1842.63,5.59%,14.79%,6.91%,9.75%,9.11%,11.94%,2.60%,1.88%,3.39,2.4,0.34,1.91,8.75%,10.12%,11.79%,1.57%,26.56%,77.06,-1.28%,2.93%
157,EFX,"Equifax, Inc.",Industrials,Consulting Services,USA,35220.12,60.72,284.63,0.90%,1464953,29.67,2.96,6.44,7.5,193.62,52.15,9.32%,30.79%,12.25%,20.54%,9.32%,0.54%,4.93%,13.13%,6.18%,0.79,0.79,1.01,1.17,43.91%,18.64%,10.67%,7/17/2024 4:30:00 PM,123.3,123.1,0.52%,-26.80%,108.65%,0.32%,2.61%,4.27,752.28,4.74%,18.39%,26.78%,13.70%,41.12%,15.10%,2.64%,2.77%,1.65,1.95,1.57,7.3,8.84%,15.11%,19.95%,-0.03%,77.95%,73.39,2.43%,-1.50%
158,EG,Everest Group Ltd,Financial,Insurance - Reinsurance,Bermuda,15825.09,5.37,364.13,-1.14%,407891,5.39,1.99,0.99,1.11,,3.3,-8.35%,11.10%,94.32%,2.70%,14.93%,2.06%,6.43%,23.30%,16.59%,0.44,,0.24,0.24,,17.40%,18.23%,7/31/2024 4:30:00 PM,43.4,33.13,23.76%,0.03%,97.79%,0.21%,2.47%,2.92,279.42,-4.91%,-0.18%,-2.13%,-3.77%,1.27%,2.98%,3.06%,2.37%,2.21,1.46,0.63,9.99,-5.04%,-4.72%,-4.17%,-12.87%,6.05%,39.08,-0.57%,-0.58%
159,EIX,Edison International,Utilities,Utilities - Regulated Electric,USA,31771.03,33.07,82.27,0.81%,2263924,14.69,4.35,1.89,2.31,63.04,,3.74%,13.40%,,7.60%,5.54%,3.78%,1.26%,6.66%,1.94%,1.03,0.96,2.22,2.43,26.08%,21.49%,5.71%,7/25/2024 4:30:00 PM,386.18,385.73,0.12%,-28.72%,94.64%,0.69%,1.27%,2.72,1796.81,4.79%,14.55%,14.31%,20.47%,15.00%,15.08%,2.10%,1.75%,2.05,1.26,0.91,1.48,8.98%,10.70%,17.75%,0.48%,39.87%,80.14,-0.38%,1.19%
160,EL,"Estee Lauder Cos., Inc.",Consumer Defensive,Household & Personal Products,USA,34242.48,53.71,95.5,-1.67%,2595840,23.75,3.16,2.24,5.96,9.25,30.25,-35.63%,80.53%,-1.12%,17.02%,2.19%,2.77%,2.82%,11.03%,4.36%,1.58,1.15,1.56,1.71,70.66%,7.43%,4.19%,8/19/2024 8:30:00 AM,232.08,232.03,35.29%,-0.04%,61.27%,-0.56%,1.98%,1.59,2892.76,-5.18%,-10.28%,-29.23%,-29.10%,-44.64%,-34.70%,3.11%,2.95%,2.35,0.9,1.0,3.12,-5.51%,-13.99%,-27.11%,-45.53%,-0.32%,26.6,-1.01%,-0.67%
161,ELV,Elevance Health Inc,Healthcare,Healthcare Plans,USA,124100.57,18.76,535.17,0.55%,874644,12.85,1.56,0.72,2.94,,151.34,12.43%,11.82%,12.18%,12.05%,13.24%,1.18%,6.02%,16.65%,10.02%,1.49,,0.58,0.66,,5.48%,3.90%,7/17/2024 8:30:00 AM,233.07,230.84,0.45%,-7.10%,93.62%,0.08%,0.76%,1.63,1082.53,1.45%,0.90%,1.82%,8.02%,13.45%,13.49%,2.36%,2.26%,1.67,0.81,0.83,13.09,2.03%,0.90%,6.62%,-3.63%,24.06%,55.21,0.23%,0.32%
162,EMN,Eastman Chemical Co,Basic Materials,Specialty Chemicals,USA,11392.68,13.1,97.49,-4.14%,1135947,10.92,1.3,1.25,2.02,22.16,18.92,20.13%,16.16%,-0.19%,10.08%,-1.09%,3.34%,5.94%,16.19%,8.86%,1.4,0.71,0.77,0.89,22.75%,12.27%,9.66%,7/25/2024 4:30:00 PM,117.29,116.12,0.63%,-17.97%,88.34%,-3.05%,1.53%,2.08,849.63,-3.22%,1.69%,1.64%,14.88%,15.15%,8.54%,2.68%,2.29%,2.05,1.34,1.45,2.53,-1.10%,-1.65%,7.40%,-8.01%,41.52%,45.65,-2.51%,-1.67%
163,EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,USA,62479.04,5.81,109.21,-3.43%,3194502,18.13,0.43,3.78,2.99,26.95,68.81,23.16%,10.13%,46.02%,13.47%,-1.78%,1.93%,4.68%,11.98%,0.44%,1.18,0.87,0.39,0.55,44.59%,15.98%,0.78%,8/7/2024 8:30:00 AM,572.0,570.14,0.34%,-0.45%,78.08%,-0.28%,1.21%,2.64,2616.93,-6.53%,-0.32%,2.63%,16.48%,14.79%,12.21%,2.78%,2.15%,1.4,1.22,1.31,2.81,-5.04%,-2.14%,5.65%,-8.63%,31.42%,40.26,-1.56%,-1.90%
