No.,Ticker,Company,Combined_Rank,Combined_Score,Market Cap_dr,Forward P/E_dr,P/B_dr,P/Free Cash Flow_dr,EPS growth this year_dr,EPS growth next year_dr,Dividend Yield_dr,Return on Assets_dr,Total Debt/Equity_dr,Institutional Ownership_dr,Float Short_dr,Performance (Month)_dr,Performance (Quarter)_dr,Average Volume_dr,Beta_dr,Market Cap,Forward P/E,P/B,P/Free Cash Flow,EPS growth this year,EPS growth next year,Dividend Yield,Return on Assets,Total Debt/Equity,Institutional Ownership,Float Short,Performance (Month),Performance (Quarter),Average Volume,Beta,Sector,Industry,Country,P/E,Price,Change,Volume,PEG,P/S,P/Cash,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Transactions,Short Ratio,Performance (Week),Performance (Half Year),Performance (Year),Performance (YTD),Volatility (Week),Volatility (Month),Analyst Recom,Relative Volume,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Market Cap_Rank,Forward P/E_Rank,P/B_Rank,P/Free Cash Flow_Rank,EPS growth this year_Rank,EPS growth next year_Rank,Dividend Yield_Rank,Return on Assets_Rank,Total Debt/Equity_Rank,Institutional Ownership_Rank,Float Short_Rank,Performance (Month)_Rank,Performance (Quarter)_Rank,Average Volume_Rank,Beta_Rank
115,VRSK,"Verisk Analytics, Inc.",3339,125,10,17,17,11,2,4,14,4,15,4,3,0,4,15,5,29007.89,29.29,16.65,49.24,76.4,17.32,0.73,12.9,2.14,93.8,0.91,7.35,6,1049.72,0.84,Industrials,Consulting Services,USA,28.64,186.69,2.68%,1002836,2.91,11.62,257.85,18.90%,9.84%,3.10%,43.60%,21.60%,0.4,0.4,1.34,67.00%,56.30%,38.20%,2/28/2023 16:30,156.03,153.15,0.30%,-4.15%,-3.20%,1.33,3.68%,6.64%,-10.09%,5.82%,2.27%,2.38%,2.4,0.96,0.023139965,3.17%,3.57%,3.81%,-15.95%,19.63%,59.47,2.54%,0.13%,255,444,433,287,61,117,364,103,399,114,78,23,118,392,151
116,LKQ,LKQ Corporation,3379,126,15,6,7,5,8,13,9,6,5,1,7,9,8,12,15,14554.51,12.29,2.64,19.56,12.3,8.1,2.04,9.5,0.49,97.36,1.34,-4.42,-1.03,1668.95,1.37,Consumer Cyclical,Auto Parts,USA,13.15,53.8,0.43%,1125450,0.39,1.14,52.35,22.30%,33.50%,5.60%,20.80%,14.70%,1.9,0.7,0.48,40.80%,12.40%,9.00%,2/23/2023 8:30,267.8,265.88,0.50%,-90.28%,-2.31%,2.13,-0.44%,13.41%,18.55%,0.73%,1.92%,2.19%,1.7,0.67,0.024349442,-3.73%,-5.10%,0.77%,-9.32%,24.05%,40.87,1.01%,-0.58%,395,153,201,135,216,347,233,163,151,46,182,243,220,304,390
117,NVR,"NVR, Inc.",3338,126,14,8,12,2,3,19,15,0,3,9,12,1,1,19,8,17483.99,14.9,4.95,9.44,53.4,-2.31,0,31.3,0.26,86,2.15,5.53,15.05,21.8,0.97,Consumer Cyclical,Residential Construction,USA,10.99,5413,1.09%,20890,4.58,1.65,6.93,28.30%,2.40%,10.80%,56.10%,39.90%,,,0.26,27.60%,21.70%,16.30%,1/31/2023 8:30,3.21,3,0.30%,-61.11%,-2.15%,2.96,-1.64%,35.00%,12.93%,17.35%,2.43%,2.34%,2.4,0.96,0.023912803,1.94%,4.48%,19.63%,-2.46%,51.37%,58.59,1.32%,-0.23%,354,220,308,65,85,479,399,4,80,235,319,36,45,503,206
118,SLB,Schlumberger Limited,3391,127,4,5,10,11,2,2,8,7,9,9,6,18,17,1,18,65422.97,11.97,3.58,52.17,81.7,23.47,2.24,8,0.69,85.8,1.22,-16.41,-16.39,9415.45,1.81,Energy,Oil & Gas Equipment & Services,USA,18.63,44.57,-2.00%,19753477,0.59,2.33,22.61,34.00%,31.50%,-1.60%,20.70%,12.40%,1.2,0.9,0.6,18.40%,15.90%,12.20%,1/20/2023 8:30,1422,1415.79,0.19%,-13.17%,3.76%,1.83,-0.25%,16.58%,5.09%,-16.63%,3.77%,3.74%,1.9,2.1,0.047116895,-12.23%,-16.99%,-2.62%,-25.03%,45.42%,33.3,0.81%,-2.79%,115,145,255,301,56,72,216,189,231,239,152,453,444,50,473
119,FCX,Freeport-McMoRan Inc.,3436,127,5,9,9,3,14,2,10,8,8,13,7,11,8,1,19,54185.53,16.16,3.5,12.78,-17.8,25.11,1.58,6.9,0.68,79.3,1.39,-6.36,-0.98,12788.47,2.02,Basic Materials,Copper,USA,15.97,38.01,0.58%,13891599,,2.38,6.65,20.60%,-11.10%,6.80%,22.90%,18.30%,2.5,1.6,0.62,33.80%,31.00%,15.20%,1/25/2023 8:30,1432,1421.84,0.60%,-1.01%,-0.49%,1.54,4.91%,34.65%,-23.03%,0.19%,3.53%,3.46%,2.4,1.09,0.041568008,-3.26%,-9.39%,8.68%,-26.25%,53.92%,43.16,1.77%,-1.16%,136,251,251,93,364,63,273,215,224,338,191,298,219,40,480
120,KO,The Coca-Cola Company,3371,127,0,14,16,15,11,14,5,5,14,16,0,3,11,1,2,264701.25,21.77,10.93,138.01,-2.6,7.78,3.02,10.2,1.62,71.5,0.47,1.35,-4.55,13682.77,0.54,Consumer Defensive,Beverages - Non-Alcoholic,USA,27.77,60.9,1.64%,12969804,4.59,6.16,22.76,14.30%,6.06%,3.50%,40.30%,13.50%,1.1,0.9,1.51,58.10%,24.80%,22.20%,2/14/2023 8:30,4325,4295.55,0.67%,-1.36%,0.39%,1.47,1.47%,2.77%,0.83%,-4.26%,1.37%,1.47%,2,0.95,0.014942529,1.69%,1.22%,-0.26%,-9.37%,12.75%,57.3,1.08%,0.55%,24,375,408,379,296,356,146,146,370,406,4,93,280,34,54
121,MA,Mastercard Incorporated,3364,127,0,16,18,9,7,4,14,0,16,13,0,5,7,8,10,333598.42,24.25,53.52,37.69,16.8,18.96,0.65,26.5,2.23,78.5,0.61,-1.1,1.72,2839.65,1.11,Financial,Credit Services,USA,34.39,351.63,-0.77%,2971473,1.69,15,45.03,18.00%,20.34%,12.20%,153.60%,51.50%,1.2,1.2,2.18,,55.20%,44.70%,1/26/2023 8:30,959,850.7,10.70%,-2.18%,-0.21%,1.83,0.56%,17.85%,2.76%,1.12%,2.00%,1.87%,1.9,1.05,0.021471433,-0.59%,-3.47%,3.58%,-9.84%,27.00%,45.48,0.34%,-1.11%,17,408,459,243,178,103,373,12,405,347,19,136,185,202,277
122,ZTS,Zoetis Inc.,3409,127,3,17,17,14,9,8,13,3,15,3,3,7,2,9,4,76929.82,27,17.36,107.59,5.2,12.49,0.91,15,1.79,94.5,0.92,-3.14,13.29,2164.34,0.77,Healthcare,Drug Manufacturers - Specialty & Generic,USA,36.53,164.18,1.82%,1863519,3.36,9.52,21.51,15.50%,10.87%,8.80%,46.20%,17.20%,2.4,1.6,1.49,69.80%,32.90%,26.20%,2/14/2023 8:30,465.56,462.41,0.27%,-1.04%,0.02%,1.96,-0.18%,9.85%,-14.15%,12.03%,2.45%,2.23%,1.8,0.86,0.025459861,-1.00%,-0.89%,2.57%,-18.45%,32.25%,48.38,1.98%,-0.15%,100,430,435,372,250,219,350,81,381,96,80,194,56,246,119
123,CPRT,"Copart, Inc.",3392,127,8,17,14,10,7,11,18,1,1,11,3,2,1,10,13,34184.26,27.18,6.53,43.16,16,10.1,0,19.4,0,82.6,0.94,2.63,17,1905.6,1.23,Consumer Cyclical,Auto & Truck Dealerships,USA,31.82,71.43,0.28%,1541091,1.43,9.31,,22.10%,22.30%,19.30%,22.70%,23.90%,5.4,5.3,0,43.90%,37.00%,29.50%,2/20/2023 16:30,476.38,427.93,9.50%,-0.07%,-0.09%,2.11,2.45%,35.95%,14.41%,17.31%,1.78%,1.85%,1.6,0.81,0.019319614,2.00%,4.87%,16.31%,-0.98%,39.77%,59.08,0.96%,-0.67%,225,433,356,267,185,289,472,42,36,291,85,71,37,271,332
124,INTU,Intuit Inc.,3426,127,2,17,14,9,11,8,14,8,5,8,3,1,3,12,12,121813.17,27.66,7.62,37.43,-3.7,12.57,0.73,7,0.45,87,1,4.29,9.21,1584.4,1.17,Technology,Software - Application,USA,63.07,429.57,-0.68%,1659705,4.24,8.9,58.82,14.00%,14.88%,19.60%,11.90%,9.00%,1.2,1.2,0.42,79.00%,19.50%,14.20%,2/23/2023 16:30,281,272.91,0.20%,-3.31%,0.38%,1.72,3.84%,8.28%,-6.91%,10.37%,3.03%,3.13%,1.9,1.05,0.030821519,4.72%,4.63%,4.66%,-15.39%,26.58%,58.32,0.20%,-0.87%,61,438,377,242,299,218,365,214,139,222,99,45,82,320,305
125,DVN,Devon Energy Corporation,3384,128,9,1,8,3,1,18,0,0,7,12,13,17,19,1,19,30535.95,6.39,2.7,11.7,118,0.1,10.87,25.8,0.6,80.7,2.27,-14.14,-23.54,10508.68,2.4,Energy,Oil & Gas E&P,USA,5.1,46.57,-0.32%,8727263,,1.59,21,94.00%,-4.88%,24.10%,57.50%,34.90%,1.3,1.2,0.58,55.30%,41.60%,31.10%,2/14/2023 16:30,648,647.71,0.40%,1.17%,0.47%,1.4,0.91%,-23.78%,-20.41%,-23.23%,3.75%,3.66%,2.3,0.83,0.045522869,-8.65%,-17.93%,-23.65%,-38.96%,5.77%,33.49,2.46%,-2.72%,243,27,206,85,40,468,2,14,195,316,334,433,486,46,489
126,TPR,"Tapestry, Inc.",3455,128,18,3,10,9,6,7,5,4,9,2,18,12,3,6,16,9562.6,9.5,4.16,38.97,21.4,13.5,2.98,11.6,0.72,96.7,5.08,-6.63,8.32,3371.57,1.48,Consumer Cyclical,Luxury Goods,USA,11.99,40.25,-1.01%,2783569,0.98,1.45,11.3,8.70%,12.25%,8.30%,35.60%,23.40%,1.9,1.1,0.71,69.30%,16.50%,12.70%,2/9/2023 8:30,239.3,233.64,0.50%,-0.13%,3.59%,3.52,-1.59%,30.05%,7.25%,5.70%,2.83%,2.52%,2.1,0.83,0.030310559,-4.39%,-7.19%,10.92%,-15.23%,52.52%,38.23,0.05%,-1.06%,463,95,276,249,158,192,150,123,237,60,463,307,92,168,422
127,FDX,FedEx Corporation,3409,128,5,6,6,11,14,3,9,13,10,15,12,1,0,9,14,50868.35,12.29,2.21,50.07,-22.1,22.21,2.11,3.5,0.82,74.8,2.15,6.05,28.01,2077.54,1.32,Industrials,Integrated Freight & Logistics,USA,17.08,217.6,0.31%,1772561,3.94,0.54,9.47,5.30%,4.33%,9.20%,12.10%,11.40%,1.3,1.3,0.81,68.10%,5.70%,3.20%,3/16/2023 16:30,251,240.31,0.20%,0.38%,1.88%,2.49,-1.23%,40.80%,-1.75%,25.64%,2.45%,2.53%,2.2,0.85,0.0296875,4.84%,7.20%,11.35%,-12.53%,53.33%,60.7,0.33%,-0.02%,144,152,166,293,376,81,227,332,264,383,320,30,18,252,371
128,NUE,Nucor Corporation,3409,128,8,6,5,0,5,19,12,0,4,10,13,14,3,11,18,37786.83,12.42,2.06,4.98,24.3,-20.38,1.37,24.3,0.36,83.1,2.38,-8.97,8.15,1854.33,1.6,Basic Materials,Steel,USA,5.12,148.65,0.44%,1493139,,0.91,7.78,52.00%,-7.50%,15.40%,44.50%,32.80%,3.4,2.1,0.36,30.10%,25.10%,18.30%,1/26/2023 8:30,255.43,249.41,0.20%,-11.84%,-1.64%,3.2,3.14%,36.56%,1.03%,12.78%,3.57%,3.55%,2.9,0.81,0.040834174,-7.31%,-8.47%,8.13%,-20.89%,48.46%,39.23,2.22%,-1.74%,203,158,148,25,144,495,303,19,107,277,341,355,96,281,457
129,KMI,"Kinder Morgan, Inc.",3373,128,7,8,2,10,4,16,0,12,12,17,11,9,12,1,7,38370.02,14.34,1.23,45.57,43.7,5.88,6.61,3.6,1.03,63,1.89,-3.95,-6.1,13001.57,0.92,Energy,Oil & Gas Midstream,USA,14.96,16.79,2.44%,15747958,,2,51.5,32.40%,-6.40%,7.00%,8.30%,5.40%,0.5,0.5,0.92,38.00%,21.20%,13.20%,1/18/2023 16:30,2246,1963.99,0.10%,-0.90%,-0.08%,2.85,3.13%,-3.06%,-7.34%,-7.13%,2.69%,2.31%,2.8,1.21,0.024419297,-1.23%,-5.62%,-5.91%,-16.88%,6.43%,44.02,3.83%,-1.34%,200,202,53,276,103,404,14,322,305,445,283,227,317,38,184
130,AEP,"American Electric Power Company, Inc.",3466,128,6,9,5,3,12,15,3,14,14,14,7,6,12,7,1,46441.72,15.79,1.91,13.11,-9.4,6.63,3.73,2.5,1.67,75.7,1.42,-1.79,-6.56,2868.71,0.45,Utilities,Utilities - Regulated Electric,USA,19.79,89.09,4.31%,2527235,3.37,2.36,66.64,3.30%,5.88%,4.90%,9.60%,5.40%,0.6,0.6,1.41,63.90%,17.70%,11.70%,2/23/2023 8:30,513.88,513.7,0.03%,-29.81%,0.33%,2.54,-1.78%,-9.90%,-7.21%,-6.17%,3.27%,2.59%,2.3,0.88,0.026490066,-0.09%,-2.26%,-5.20%,-15.63%,10.95%,48.18,3.88%,0.41%,161,241,130,97,324,386,94,374,373,372,200,156,326,199,33
131,AJG,Arthur J. Gallagher & Co.,3406,128,7,12,11,7,6,8,12,14,8,8,2,4,9,16,4,40165.69,18.75,4.29,26.54,18.6,12.91,1.18,2.8,0.67,87.2,0.86,0.11,-2.02,873.89,0.7,Financial,Insurance Brokers,USA,35.72,185.66,0.66%,1010656,3.5,4.7,117.34,12.80%,10.20%,6.50%,12.50%,9.20%,1,1,0.61,44.30%,18.50%,13.00%,1/26/2023 16:30,211.2,208.85,0.30%,-11.11%,1.88%,2.06,3.14%,7.61%,13.16%,-1.53%,2.00%,2.12%,1.9,1.16,0.022783583,0.54%,-2.24%,1.84%,-8.26%,25.24%,50.14,1.21%,-0.54%,189,322,285,182,166,204,323,357,220,221,66,116,236,417,102
132,GIS,"General Mills, Inc.",3411,128,5,13,12,10,7,16,7,6,12,13,12,1,8,6,0,50425.47,19.29,4.99,42.78,16.9,5.17,2.55,9.3,1.16,78.1,2.15,5.6,-0.66,3466.19,0.24,Consumer Defensive,Packaged Foods,USA,17.71,84.8,3.23%,5328808,2.68,2.6,78.29,9.80%,6.62%,4.00%,28.30%,13.50%,0.6,0.3,0.85,32.70%,19.70%,15.00%,3/23/2023 8:30,595.9,584.3,0.20%,-13.61%,-0.49%,3.62,6.28%,4.98%,32.03%,1.13%,2.21%,1.79%,3.1,1.54,0.019575472,6.16%,7.75%,8.55%,-4.01%,31.64%,70.66,2.09%,1.11%,145,328,311,265,177,421,190,169,322,352,317,34,210,165,5
133,EW,Edwards Lifesciences Corporation,3424,128,5,17,15,11,10,7,19,1,2,10,12,1,3,6,9,49839.42,28.33,8.53,51.19,2.4,13.36,0,18,0.1,84.9,2.12,4.1,8.03,3586.74,1.02,Healthcare,Medical Devices,USA,33.11,80.76,1.52%,2748087,3.17,9.26,41.01,12.50%,10.45%,9.40%,25.60%,23.50%,3,2.2,0.1,80.00%,32.50%,28.30%,1/31/2023 16:30,613,602.89,0.10%,-26.46%,-0.08%,3.56,0.02%,-4.05%,-24.66%,8.24%,2.40%,2.73%,2.4,0.77,0.027488856,2.22%,2.77%,-4.83%,-38.40%,20.30%,54.97,1.52%,0.00%,148,439,387,298,267,196,481,51,55,258,314,47,97,157,229
134,CVS,CVS Health Corporation,3424,129,3,2,2,2,17,17,4,15,9,12,5,17,19,2,3,95920.79,8.06,1.35,9.1,-47.3,2.9,3.3,1.8,0.74,80.7,1.15,-15.67,-22.16,9093.47,0.62,Healthcare,Healthcare Plans,USA,23.47,73.26,1.23%,6058152,4.11,0.3,6.1,-8.90%,5.71%,11.80%,5.70%,5.10%,0.9,0.7,0.71,38.90%,2.40%,1.30%,2/8/2023 8:30,1309,1278.2,0.10%,-9.50%,0.58%,1.62,-1.49%,-26.62%,-31.02%,-21.39%,2.00%,2.05%,2.1,0.67,0.022113022,-6.79%,-12.93%,-21.82%,-32.71%,1.60%,26.33,1.20%,0.03%,81,64,60,62,442,444,125,396,245,315,128,448,481,55,78
135,OXY,Occidental Petroleum Corporation,3423,129,5,3,7,0,0,19,12,2,11,13,18,6,14,1,18,52867.58,9.5,2.59,4.75,501.3,-2.13,1.24,17.1,0.98,79.4,5.32,-1.76,-8.71,13458.1,1.8,Energy,Oil & Gas E&P,USA,4.68,58.18,-0.51%,13579518,,1.44,53.73,49.10%,,23.80%,69.00%,32.20%,1.1,0.9,0.97,67.20%,37.30%,34.00%,2/27/2023 16:30,905.8,890.86,0.21%,,-2.81%,3.52,-0.51%,-5.98%,-2.77%,-7.64%,2.69%,3.27%,2.6,1.01,0.035579237,-2.45%,-6.42%,-9.80%,-24.57%,12.91%,42.96,0.57%,-1.08%,137,93,199,23,4,478,317,62,294,334,467,154,354,35,472
136,PCAR,PACCAR Inc,3466,129,8,6,10,6,2,19,11,6,10,17,6,10,5,6,7,37671.91,12.43,4.16,25.16,61.2,-12.77,1.43,9.6,0.87,66.8,1.26,-4.82,3.77,3280.33,0.92,Industrials,Farm & Heavy Construction Machinery,USA,13.52,69.9,0.13%,2487804,52.6,1.31,5.97,6.20%,0.26%,8.20%,23.70%,12.40%,3.9,3.6,0.87,19.20%,13.50%,10.40%,1/24/2023 8:30,783,515.75,1.40%,-1.93%,0.46%,1.99,1.76%,26.96%,22.58%,5.94%,2.14%,2.20%,2.7,0.76,0.025608011,-3.68%,-3.18%,11.14%,-8.88%,39.98%,41.98,1.06%,-0.92%,204,161,277,176,74,491,297,157,275,431,160,255,148,175,185
137,VICI,VICI Properties Inc.,3468,129,9,6,2,10,15,17,1,13,8,0,14,12,11,3,8,31654.18,12.68,1.36,43.82,-27.7,4.21,5.02,3.3,0.66,98.6,2.7,-7.23,-5.25,6325.07,0.98,Real Estate,REIT - Diversified,USA,24.79,31.06,3.33%,7647315,3.49,12.17,151.53,48.40%,7.10%,69.20%,5.50%,4.40%,,,0.66,99.10%,61.90%,43.00%,2/23/2023 16:30,1004.2,999.84,0.36%,0.00%,-4.46%,4.27,-0.35%,-1.37%,14.40%,-4.14%,2.74%,2.38%,1.7,1.21,0.025434643,-4.51%,-6.98%,-4.51%,-12.97%,17.57%,37.9,3.84%,-0.50%,238,167,62,271,393,438,43,334,219,22,373,314,294,91,209
138,ROP,"Roper Technologies, Inc.",3432,129,6,16,8,14,6,14,14,2,5,2,3,4,8,18,9,45936.06,24.76,2.84,106.28,22,7.24,0.64,17.8,0.42,97.1,0.99,-0.34,-0.29,540.54,1.04,Technology,Software - Application,USA,46.55,429.59,1.07%,673298,5.12,8.55,57.94,4.80%,9.10%,3.10%,31.80%,5.40%,0.7,0.6,0.37,69.90%,28.40%,84.60%,1/27/2023 8:30,105.9,105.62,0.30%,-11.61%,-3.03%,1.93,0.92%,14.38%,-7.02%,-0.58%,2.20%,1.93%,2.2,1.25,0.02034498,0.78%,-0.32%,3.67%,-12.01%,20.60%,52.09,1.04%,0.03%,167,417,214,369,154,374,375,55,129,53,97,124,202,464,238
139,COST,Costco Wholesale Corporation,3390,129,1,18,15,12,7,13,14,6,3,16,1,4,4,10,5,219736.44,31.56,9.64,55.96,16.6,8.21,0.73,9.3,0.29,69.1,0.69,0.43,7.19,1959.22,0.79,Consumer Defensive,Discount Stores,USA,36.39,495.27,1.54%,1635055,3.68,0.94,16.03,16.70%,9.90%,12.00%,28.50%,20.40%,1.1,0.6,0.29,12.10%,3.40%,2.60%,3/2/2023 16:30,443.88,441.63,0.20%,-1.95%,0.27%,1.56,1.69%,1.66%,-10.60%,8.49%,1.63%,1.84%,2.1,0.83,0.018797827,2.40%,0.46%,-0.40%,-19.11%,21.83%,56.37,1.71%,-0.17%,29,457,398,310,179,342,363,168,84,419,33,108,104,266,130
140,ANSS,"ANSYS, Inc.",3453,129,10,18,13,10,7,10,18,7,1,2,2,0,0,18,13,27756.35,32.97,5.65,45.76,16,10.68,0,8.4,0,96.3,0.86,7.11,30.51,499.88,1.24,Technology,Software - Application,USA,52.73,315.7,0.33%,357025,5.67,13.44,45.16,13.60%,9.30%,13.50%,11.50%,9.60%,2.1,2.1,0.15,87.90%,28.70%,25.40%,2/22/2023 16:30,87.02,86.78,0.10%,-17.50%,-0.36%,1.48,1.48%,36.05%,3.03%,30.68%,2.10%,2.42%,2.2,0.71,0.024390244,3.28%,11.88%,24.51%,-4.03%,62.54%,64.72,0.16%,0.17%,262,462,334,277,184,264,470,178,35,70,64,26,15,472,340
141,PNC,"The PNC Financial Services Group, Inc.",3460,130,5,2,1,2,8,17,1,16,7,10,6,19,18,7,11,52187.69,8.07,1.1,7.8,9.1,4.46,4.83,1,0.58,84.9,1.31,-21.47,-19.33,3212.19,1.15,Financial,Banks - Regional,USA,8.97,124.15,1.65%,4133616,0.82,3.38,1.52,11.80%,10.96%,7.40%,12.10%,15.40%,,,0.58,,81.20%,37.00%,4/14/2023 8:30,406,396.99,0.10%,-0.02%,-3.42%,1.62,0.35%,-19.73%,-35.56%,-21.39%,3.97%,4.08%,2.5,1.29,0.047684253,-11.19%,-18.47%,-21.37%,-37.61%,2.65%,32.33,3.46%,-1.74%,139,65,36,53,226,432,50,426,183,260,171,478,465,180,296
142,CTVA,"Corteva, Inc.",3494,130,7,10,3,17,16,3,13,14,1,10,2,13,10,6,5,40754.85,16.39,1.61,3000,-31.9,20.45,1.06,2.8,0.05,83.3,0.86,-8.32,-4.29,3492.36,0.82,Basic Materials,Agricultural Inputs,USA,34.49,56.84,0.05%,2559312,2.56,2.33,12.29,-13.20%,13.49%,4.40%,4.50%,5.20%,1.6,0.9,0.05,40.20%,9.10%,6.60%,2/1/2023 16:30,714.8,711.23,0.19%,3.04%,-0.09%,1.75,0.41%,-4.89%,-0.99%,-3.30%,2.02%,2.26%,2.2,0.73,0.026213934,-5.35%,-7.50%,-6.05%,-16.94%,13.61%,35.54,1.07%,-1.00%,187,263,92,448,406,91,336,359,47,275,65,341,276,164,144
143,TSLA,"Tesla, Inc.",3440,130,0,18,16,10,1,1,17,2,1,18,16,11,0,0,19,615856.4,34.87,13.46,41.84,121.7,39.46,0,17.3,0.07,44.8,3.08,-5.77,38.41,181754.07,2.04,Consumer Cyclical,Auto Manufacturers,USA,52.53,190.41,-0.94%,116256498,4.45,7.56,27.76,39.90%,11.80%,47.30%,32.50%,26.10%,1.5,1.1,0.04,25.60%,16.80%,15.40%,1/25/2023 16:30,3160,2642.27,0.10%,-92.79%,1.95%,0.45,5.71%,-34.02%,-42.83%,54.58%,4.91%,4.58%,2.4,0.64,0.052623287,0.79%,6.21%,-12.23%,-50.45%,87.02%,52.56,-0.70%,-0.24%,8,465,422,260,35,37,451,58,50,472,406,283,11,1,481
144,MTB,M&T Bank Corporation,3530,131,12,0,0,1,14,17,2,16,2,8,6,19,18,11,5,20111.6,6.25,0.84,5.63,-16.4,2.75,4.52,1,0.17,86.7,1.32,-25.72,-19.63,1790.63,0.82,Financial,Banks - Regional,USA,10.47,114.93,2.28%,3069279,0.8,3.22,0.73,4.50%,13.03%,8.40%,8.80%,17.20%,,,0.17,,84.90%,30.30%,1/19/2023 8:30,171.27,167.59,0.10%,0.22%,-1.24%,1.23,-6.18%,-37.27%,-35.76%,-20.77%,5.25%,4.63%,2.3,1.71,0.053249804,-15.97%,-22.37%,-29.89%,-40.58%,2.32%,26.08,4.24%,-1.89%,321,24,15,32,357,445,58,427,65,225,175,489,466,289,142
145,AMGN,Amgen Inc.,3470,131,2,6,18,7,6,16,4,5,17,13,7,4,15,8,3,129745.39,12.65,34.8,28.27,17.8,5.94,3.58,10.6,10.64,79.1,1.38,0.17,-10.6,2454.47,0.64,Healthcare,Drug Manufacturers - General,USA,19.64,238.03,2.11%,2545992,4.77,4.93,13.94,2.00%,4.12%,2.90%,246.10%,20.60%,1.4,1.1,10.2,75.70%,36.60%,24.90%,1/31/2023 16:30,535,532.71,0.21%,-0.08%,-1.45%,3,3.59%,4.51%,1.64%,-9.37%,2.02%,1.94%,2.7,1.04,0.020543629,2.49%,-2.20%,-5.31%,-19.77%,6.60%,52.97,1.63%,0.48%,56,166,454,187,168,403,104,140,450,342,190,115,389,222,84
146,RHI,Robert Half International Inc.,3460,131,18,7,12,5,8,6,7,1,0,1,18,11,7,15,15,8228.95,13.18,5.1,18.99,12.5,14.58,2.57,22.4,0,98.2,5.71,-6.08,2.1,998.91,1.33,Industrials,Staffing & Employment Services,USA,12.4,74.7,0.86%,624970,1.41,1.14,12.49,17.70%,8.80%,6.60%,44.00%,41.40%,1.9,1.9,0,42.70%,12.30%,9.10%,1/26/2023 16:30,106.97,105.49,0.20%,-12.32%,-2.94%,6.03,1.80%,2.12%,-35.86%,1.18%,2.94%,2.51%,3.2,0.63,0.029585007,-4.23%,-6.82%,-4.46%,-38.91%,14.22%,39.11,1.56%,-0.69%,474,184,314,128,214,166,187,27,7,32,475,293,178,400,381
147,ETR,Entergy Corporation,3492,131,12,8,4,3,11,14,2,15,15,5,5,7,14,13,3,22198.99,14.4,1.66,12.74,-3.1,7.37,4.13,1.9,2.06,92.7,1.22,-3.29,-9.12,1495.69,0.64,Utilities,Utilities - Regulated Electric,USA,19.26,103.69,3.33%,1311385,2.92,1.61,99.01,-0.10%,6.60%,4.40%,9.10%,5.30%,0.6,0.4,1.82,87.50%,14.90%,8.00%,2/16/2023 8:30,208.02,202.71,0.10%,-6.38%,0.49%,1.66,-0.84%,-8.98%,-6.46%,-7.83%,2.68%,2.49%,2.2,0.88,0.024881859,0.00%,-2.15%,-6.05%,-18.24%,9.22%,48.35,3.25%,0.08%,303,206,102,92,298,366,75,394,393,135,151,201,365,328,83
148,AON,Aon plc,3526,131,4,12,19,6,1,9,14,7,18,7,2,3,7,16,6,63940.47,19.06,1000,24.98,118.8,11.44,0.72,7.8,100,89.6,0.84,1.54,2.02,833.33,0.89,Financial,Insurance Brokers,Ireland,25.5,309.16,2.04%,895888,2.24,5.12,8.49,33.60%,11.36%,4.50%,,31.30%,1,1,,,29.80%,20.70%,2/3/2023 8:30,207.2,189.53,0.10%,-26.19%,-1.50%,1.92,4.24%,13.57%,-1.47%,3.01%,1.94%,2.04%,2.8,1.08,0.021380515,3.17%,-0.27%,6.14%,-9.60%,25.57%,57.11,2.70%,-0.64%,118,325,486,173,39,236,367,193,473,186,62,89,181,424,174
149,MMC,"Marsh & McLennan Companies, Inc.",3540,131,3,12,14,10,11,11,11,6,12,6,0,6,10,12,7,80866.99,19.28,7.52,43.55,-1.4,9.97,1.47,9.2,1.09,90.8,0.61,-2.04,-4.21,1611.52,0.92,Financial,Insurance Brokers,USA,26.63,160.53,1.19%,1619811,2.93,3.9,56.08,10.00%,9.08%,8.10%,29.20%,14.90%,1.2,1.2,1.07,,20.70%,14.70%,1/26/2023 8:30,493,490.05,0.12%,-14.43%,-1.95%,1.86,3.04%,6.16%,-1.24%,-2.99%,1.79%,1.89%,2.8,1.01,0.021117548,0.45%,-3.71%,-1.23%,-12.35%,12.00%,48.36,1.60%,-0.41%,96,327,372,269,289,291,290,170,313,168,21,162,275,314,183
